image num 1,perceptron_out = 20.3186
image num 113,perceptron_out = 9.68408
image num 114,perceptron_out = 8.17065
image num 115,perceptron_out = 16.346
image num 116,perceptron_out = 8.05018
image num 117,perceptron_out = 10.0048
image num 118,perceptron_out = 8.14644
image num 119,perceptron_out = 13.3934
image num 120,perceptron_out = 8.06551
image num 121,perceptron_out = 18.7651
image num 122,perceptron_out = 10.3363
image num 123,perceptron_out = 8.87665
image num 124,perceptron_out = 13.5021
image num 125,perceptron_out = 2.94758
image num 126,perceptron_out = 5.19336
image num 127,perceptron_out = 5.254
image num 128,perceptron_out = 10.1124
image num 129,perceptron_out = 13.7418
image num 130,perceptron_out = 13.624
image num 131,perceptron_out = 9.34838
image num 132,perceptron_out = 6.32755
image num 133,perceptron_out = 9.07057
image num 134,perceptron_out = 14.3448
image num 135,perceptron_out = 12.5932
image num 136,perceptron_out = 4.47182
image num 137,perceptron_out = 8.78202
image num 138,perceptron_out = 9.10066
image num 139,perceptron_out = 3.9785
image num 140,perceptron_out = 7.73221
image num 141,perceptron_out = 16.4676
image num 142,perceptron_out = 12.8115
image num 143,perceptron_out = 13.9987
image num 144,perceptron_out = 5.37335
image num 145,perceptron_out = 6.46421
image num 146,perceptron_out = 5.14252
image num 147,perceptron_out = 5.45383
image num 148,perceptron_out = 10.0687
image num 149,perceptron_out = 9.55358
image num 150,perceptron_out = 4.80307
image num 151,perceptron_out = 5.56021
image num 152,perceptron_out = 9.31832
image num 153,perceptron_out = 4.79499
image num 154,perceptron_out = 12.27
image num 155,perceptron_out = 5.66999
image num 156,perceptron_out = 10.2353
image num 157,perceptron_out = 7.94892
image num 158,perceptron_out = 15.264
image num 159,perceptron_out = 10.292
image num 160,perceptron_out = 5.84723
image num 161,perceptron_out = 4.84885
image num 162,perceptron_out = 14.5533
image num 163,perceptron_out = 6.20775
image num 164,perceptron_out = 3.05845
image num 165,perceptron_out = 6.86334
image num 166,perceptron_out = 5.78624
image num 167,perceptron_out = 5.42931
image num 168,perceptron_out = 6.58382
image num 169,perceptron_out = 14.0787
image num 170,perceptron_out = 17.8296
image num 171,perceptron_out = 12.51
image num 172,perceptron_out = 6.34756
image num 173,perceptron_out = 7.22733
image num 174,perceptron_out = 12.0533
image num 175,perceptron_out = 10.4465
image num 176,perceptron_out = 11.2889
image num 177,perceptron_out = 13.4228
image num 178,perceptron_out = 6.88204
image num 179,perceptron_out = 8.19203
image num 180,perceptron_out = 10.0757
image num 181,perceptron_out = 6.96754
image num 182,perceptron_out = 7.22849
image num 183,perceptron_out = 8.0386
image num 184,perceptron_out = 6.96944
image num 185,perceptron_out = 18.4997
image num 186,perceptron_out = 6.96863
image num 187,perceptron_out = 10.4859
image num 188,perceptron_out = 7.1912
image num 189,perceptron_out = 14.0007
image num 190,perceptron_out = 5.46176
image num 191,perceptron_out = 25.3596
image num 192,perceptron_out = 13.7555
image num 193,perceptron_out = 2.83782
image num 194,perceptron_out = 8.62991
image num 195,perceptron_out = 7.51371
image num 196,perceptron_out = 12.8652
image num 197,perceptron_out = 6.2565
image num 198,perceptron_out = 7.2866
image num 199,perceptron_out = 5.96456
image num 200,perceptron_out = 13.3858
image num 201,perceptron_out = 8.14362
image num 202,perceptron_out = 7.50166
image num 203,perceptron_out = 6.05057
image num 204,perceptron_out = 6.10894
image num 205,perceptron_out = 7.93578
image num 206,perceptron_out = 3.86331
image num 207,perceptron_out = 11.174
image num 208,perceptron_out = 7.66082
image num 209,perceptron_out = 8.77733
image num 210,perceptron_out = 4.60526
image num 211,perceptron_out = 10.9574
image num 212,perceptron_out = 5.26889
image num 213,perceptron_out = 11.132
image num 214,perceptron_out = 4.95177
image num 215,perceptron_out = 13.2482
image num 216,perceptron_out = 7.546
image num 217,perceptron_out = 4.95079
image num 218,perceptron_out = 5.80806
image num 219,perceptron_out = 8.09395
image num 220,perceptron_out = 7.73746
image num 221,perceptron_out = 15.7385
image num 222,perceptron_out = 8.50377
image num 223,perceptron_out = 7.22619
image num 224,perceptron_out = 4.10774
image num 225,perceptron_out = 7.71995
image num 226,perceptron_out = 4.04827
image num 227,perceptron_out = 5.5726
image num 228,perceptron_out = 10.6558
image num 229,perceptron_out = 7.12432
image num 230,perceptron_out = 26.3703
image num 231,perceptron_out = 7.24393
image num 232,perceptron_out = 14.4281
image num 233,perceptron_out = 17.6072
image num 234,perceptron_out = 5.93964
image num 235,perceptron_out = 8.91315
image num 236,perceptron_out = 13.7638
image num 237,perceptron_out = 10.193
image num 238,perceptron_out = 14.5713
image num 239,perceptron_out = 15.0167
image num 240,perceptron_out = 5.50704
image num 241,perceptron_out = 6.2914
image num 242,perceptron_out = 7.05548
image num 243,perceptron_out = 8.73218
image num 244,perceptron_out = 9.08309
image num 245,perceptron_out = 6.19778
image num 246,perceptron_out = 8.83892
image num 247,perceptron_out = 7.44653
image num 248,perceptron_out = 7.50286
image num 249,perceptron_out = 25.4926
image num 250,perceptron_out = 20.5284
image num 251,perceptron_out = 9.09425
image num 252,perceptron_out = 11.9865
image num 253,perceptron_out = 10.7577
image num 254,perceptron_out = 6.76645
image num 255,perceptron_out = 6.29629
image num 256,perceptron_out = 4.71456
image num 257,perceptron_out = 8.38724
image num 258,perceptron_out = 8.80321
image num 259,perceptron_out = 5.47305
image num 260,perceptron_out = 5.97307
image num 261,perceptron_out = 13.5475
image num 262,perceptron_out = 9.26194
image num 263,perceptron_out = 9.58014
image num 264,perceptron_out = 4.464
image num 265,perceptron_out = 5.71523
image num 266,perceptron_out = 3.9146
image num 267,perceptron_out = 9.02082
image num 268,perceptron_out = 4.80403
image num 269,perceptron_out = 10.2927
image num 270,perceptron_out = 16.0497
image num 271,perceptron_out = 7.49371
image num 272,perceptron_out = 8.86068
image num 273,perceptron_out = 7.4466
image num 274,perceptron_out = 16.2082
image num 275,perceptron_out = 3.67345
image num 276,perceptron_out = 10.8162
image num 277,perceptron_out = 9.96959
image num 278,perceptron_out = 11.9428
image num 279,perceptron_out = 7.4285
image num 280,perceptron_out = 6.9601
image num 281,perceptron_out = 7.83774
image num 282,perceptron_out = 14.3486
image num 283,perceptron_out = 5.05363
image num 284,perceptron_out = 7.55623
image num 285,perceptron_out = 6.27429
image num 286,perceptron_out = 7.00246
image num 287,perceptron_out = 12.3304
image num 288,perceptron_out = 4.50764
image num 289,perceptron_out = 4.36887
image num 290,perceptron_out = 5.04274
image num 291,perceptron_out = 8.40613
image num 292,perceptron_out = 9.25676
image num 293,perceptron_out = 21.077
image num 294,perceptron_out = 4.43488
image num 295,perceptron_out = 4.91106
image num 296,perceptron_out = 17.8812
image num 297,perceptron_out = 10.4763
image num 298,perceptron_out = 6.34058
image num 299,perceptron_out = 10.6899
image num 300,perceptron_out = 3.8046
image num 301,perceptron_out = 4.05635
image num 302,perceptron_out = 7.13109
image num 303,perceptron_out = 8.8538
image num 304,perceptron_out = 4.66892
image num 305,perceptron_out = 5.80873
image num 306,perceptron_out = 14.7657
image num 307,perceptron_out = 12.3769
image num 308,perceptron_out = 7.52987
image num 309,perceptron_out = 5.21566
image num 310,perceptron_out = 13.6786
image num 311,perceptron_out = 4.27845
image num 312,perceptron_out = 9.48771
image num 313,perceptron_out = 10.143
image num 314,perceptron_out = 15.4289
image num 315,perceptron_out = 5.77456
image num 316,perceptron_out = 6.60167
image num 317,perceptron_out = 8.39073
image num 318,perceptron_out = 9.81638
image num 319,perceptron_out = 4.29578
image num 320,perceptron_out = 5.35374
image num 321,perceptron_out = 9.34498
image num 322,perceptron_out = 7.83851
image num 323,perceptron_out = 7.30779
image num 324,perceptron_out = 5.75716
image num 325,perceptron_out = 5.53536
image num 326,perceptron_out = 15.0027
image num 327,perceptron_out = 11.1017
image num 328,perceptron_out = 17.724
image num 329,perceptron_out = 10.6895
image num 330,perceptron_out = 5.35096
image num 331,perceptron_out = 6.32562
image num 332,perceptron_out = 5.16501
image num 333,perceptron_out = 10.0635
image num 334,perceptron_out = 7.16893
image num 335,perceptron_out = 6.2589
image num 336,perceptron_out = 5.79726
image num 337,perceptron_out = 16.6032
image num 338,perceptron_out = 18.8718
image num 339,perceptron_out = 2.60831
image num 340,perceptron_out = 7.9996
image num 341,perceptron_out = 9.71881
image num 342,perceptron_out = 7.58247
image num 343,perceptron_out = 13.3931
image num 344,perceptron_out = 9.08829
image num 345,perceptron_out = 13.3018
image num 346,perceptron_out = 14.0904
image num 347,perceptron_out = 10.6388
image num 348,perceptron_out = 15.4726
image num 349,perceptron_out = 15.9427
image num 350,perceptron_out = 10.533
image num 351,perceptron_out = 9.3061
image num 352,perceptron_out = 12.3145
image num 353,perceptron_out = 11.4109
image num 354,perceptron_out = 6.33739
image num 355,perceptron_out = 12.5629
image num 356,perceptron_out = 8.38625
image num 357,perceptron_out = 9.29713
image num 358,perceptron_out = 10.9273
image num 359,perceptron_out = 8.46821
image num 360,perceptron_out = 4.66073
image num 361,perceptron_out = 8.02372
image num 362,perceptron_out = 5.83228
image num 363,perceptron_out = 23.8006
image num 364,perceptron_out = 8.72878
image num 365,perceptron_out = 11.8035
image num 366,perceptron_out = 9.01065
image num 367,perceptron_out = 5.04219
image num 368,perceptron_out = 10.793
image num 369,perceptron_out = 11.6838
image num 370,perceptron_out = 8.45905
image num 371,perceptron_out = 12.2751
image num 372,perceptron_out = 12.4353
image num 373,perceptron_out = 9.91751
image num 374,perceptron_out = 7.47624
image num 375,perceptron_out = 4.6796
image num 376,perceptron_out = 10.72
image num 377,perceptron_out = 7.72768
image num 378,perceptron_out = 29.0608
image num 379,perceptron_out = 5.42407
image num 380,perceptron_out = 12.118
image num 381,perceptron_out = 5.34883
image num 382,perceptron_out = 13.5929
image num 383,perceptron_out = 19.2933
image num 384,perceptron_out = 9.06382
image num 385,perceptron_out = 6.26631
image num 386,perceptron_out = 8.15976
image num 387,perceptron_out = 4.27827
image num 388,perceptron_out = 23.3908
image num 389,perceptron_out = 12.0883
image num 390,perceptron_out = 7.87151
image num 391,perceptron_out = 9.14401
image num 392,perceptron_out = 6.92183
image num 393,perceptron_out = 17.2342
image num 394,perceptron_out = 9.28241
image num 395,perceptron_out = 11.2271
image num 396,perceptron_out = 7.15068
image num 397,perceptron_out = 5.18869
image num 398,perceptron_out = 6.59767
image num 399,perceptron_out = 7.65504
image num 400,perceptron_out = 6.22661
image num 401,perceptron_out = 13.8974
image num 402,perceptron_out = 8.61724
image num 403,perceptron_out = 14.1058
image num 404,perceptron_out = 18.122
image num 405,perceptron_out = 6.96341
image num 406,perceptron_out = 15.9902
image num 407,perceptron_out = 5.86034
image num 408,perceptron_out = 6.98548
image num 409,perceptron_out = 10.0172
image num 410,perceptron_out = 6.95064
image num 411,perceptron_out = 12.3773
image num 412,perceptron_out = 11.4103
image num 413,perceptron_out = 3.36405
image num 414,perceptron_out = 11.7568
image num 415,perceptron_out = 4.14465
image num 416,perceptron_out = 8.22508
image num 417,perceptron_out = 8.34987
image num 418,perceptron_out = 7.63379
image num 419,perceptron_out = 6.61181
image num 420,perceptron_out = 9.31741
image num 421,perceptron_out = 24.8529
image num 422,perceptron_out = 8.69567
image num 423,perceptron_out = 18.6852
image num 424,perceptron_out = 11.6274
image num 425,perceptron_out = 13.9913
image num 426,perceptron_out = 6.55504
image num 427,perceptron_out = 3.80856
image num 428,perceptron_out = 9.09518
image num 429,perceptron_out = 4.09388
image num 430,perceptron_out = 8.25306
image num 431,perceptron_out = 5.58098
image num 432,perceptron_out = 8.5895
image num 433,perceptron_out = 9.59193
image num 434,perceptron_out = 14.6287
image num 435,perceptron_out = 7.29852
image num 436,perceptron_out = 4.27397
image num 437,perceptron_out = 8.3645
image num 438,perceptron_out = 7.12394
image num 439,perceptron_out = 4.26523
image num 440,perceptron_out = 7.85855
image num 441,perceptron_out = 7.54304
image num 442,perceptron_out = 5.94575
image num 443,perceptron_out = 6.12967
image num 444,perceptron_out = 8.6742
image num 445,perceptron_out = 8.25726
image num 446,perceptron_out = 9.23706
image num 447,perceptron_out = 24.1001
image num 448,perceptron_out = 7.89381
image num 449,perceptron_out = 12.1567
image num 450,perceptron_out = 5.91365
image num 451,perceptron_out = 10.102
image num 452,perceptron_out = 6.84832
image num 453,perceptron_out = 4.81934
image num 454,perceptron_out = 12.9955
image num 455,perceptron_out = 4.93569
image num 456,perceptron_out = 12.0464
image num 457,perceptron_out = 12.6048
image num 458,perceptron_out = 9.08064
image num 459,perceptron_out = 21.413
image num 460,perceptron_out = 6.2565
image num 461,perceptron_out = 10.2204
image num 462,perceptron_out = 5.17419
image num 463,perceptron_out = 9.86642
image num 464,perceptron_out = 4.8534
image num 465,perceptron_out = 4.0191
image num 466,perceptron_out = 7.30807
image num 467,perceptron_out = 5.39655
image num 468,perceptron_out = 18.9526
image num 469,perceptron_out = 5.04715
image num 470,perceptron_out = 6.85428
image num 471,perceptron_out = 6.43892
image num 472,perceptron_out = 7.19719
image num 473,perceptron_out = 9.68344
image num 474,perceptron_out = 10.0429
image num 475,perceptron_out = 6.17525
image num 476,perceptron_out = 9.69256
image num 477,perceptron_out = 21.9105
image num 478,perceptron_out = 12.5914
image num 479,perceptron_out = 6.24992
image num 480,perceptron_out = 14.5355
image num 481,perceptron_out = 9.85364
image num 482,perceptron_out = 7.33097
image num 483,perceptron_out = 8.20829
image num 484,perceptron_out = 9.13818
image num 485,perceptron_out = 4.51895
image num 486,perceptron_out = 11.8321
image num 487,perceptron_out = 10.0105
image num 488,perceptron_out = 4.90903
image num 489,perceptron_out = 5.62797
image num 490,perceptron_out = 7.48676
image num 491,perceptron_out = 4.97993
image num 492,perceptron_out = 18.6046
image num 493,perceptron_out = 4.73982
image num 494,perceptron_out = 5.22504
image num 495,perceptron_out = 7.92589
image num 496,perceptron_out = 14.5086
image num 497,perceptron_out = 5.59873
image num 498,perceptron_out = 17.7505
image num 499,perceptron_out = 8.19963
image num 500,perceptron_out = 12.0357
image num 501,perceptron_out = 9.16467
image num 502,perceptron_out = 3.96104
image num 503,perceptron_out = 4.09362
image num 504,perceptron_out = 4.10379
image num 505,perceptron_out = 6.60394
image num 506,perceptron_out = 9.24797
image num 507,perceptron_out = 6.3701
image num 508,perceptron_out = 11.9986
image num 509,perceptron_out = 4.63605
image num 510,perceptron_out = 6.37278
image num 511,perceptron_out = 10.6582
image num 512,perceptron_out = 10.0053
image num 513,perceptron_out = 4.2239
image num 514,perceptron_out = 9.492
image num 515,perceptron_out = 4.2298
image num 516,perceptron_out = 5.31595
image num 517,perceptron_out = 9.61409
image num 518,perceptron_out = 12.7239
image num 519,perceptron_out = 5.15664
image num 520,perceptron_out = 6.44447
image num 521,perceptron_out = 9.4265
image num 522,perceptron_out = 4.06043
image num 523,perceptron_out = 15.0209
image num 524,perceptron_out = 4.37748
image num 525,perceptron_out = 8.33328
image num 526,perceptron_out = 10.1058
image num 527,perceptron_out = 5.60943
image num 528,perceptron_out = 3.78066
image num 529,perceptron_out = 11.8858
image num 530,perceptron_out = 6.38263
image num 531,perceptron_out = 10.1582
image num 532,perceptron_out = 26.814
image num 533,perceptron_out = 10.7878
image num 534,perceptron_out = 19.2662
image num 535,perceptron_out = 6.33692
image num 536,perceptron_out = 8.30033
image num 537,perceptron_out = 8.72533
image num 538,perceptron_out = 12.4027
image num 539,perceptron_out = 12.2018
image num 540,perceptron_out = 8.81632
image num 541,perceptron_out = 6.95199
image num 542,perceptron_out = 7.05367
image num 543,perceptron_out = 5.65399
image num 544,perceptron_out = 8.63349
image num 545,perceptron_out = 7.55609
image num 546,perceptron_out = 3.44998
image num 547,perceptron_out = 14.6004
image num 548,perceptron_out = 12.7529
image num 549,perceptron_out = 8.12908
image num 550,perceptron_out = 6.95031
image num 551,perceptron_out = 14.5552
image num 552,perceptron_out = 16.9563
image num 553,perceptron_out = 9.70277
image num 554,perceptron_out = 13.2259
image num 555,perceptron_out = 4.61256
image num 556,perceptron_out = 16.6681
image num 557,perceptron_out = 6.0534
image num 558,perceptron_out = 7.76389
image num 559,perceptron_out = 5.66477
image num 560,perceptron_out = 8.04003
image num 561,perceptron_out = 5.72919
image num 562,perceptron_out = 6.11668
image num 563,perceptron_out = 14.6177
image num 564,perceptron_out = 13.3869
image num 565,perceptron_out = 7.62602
image num 566,perceptron_out = 5.90536
image num 567,perceptron_out = 7.76308
image num 568,perceptron_out = 4.13362
image num 569,perceptron_out = 27.3876
image num 570,perceptron_out = 19.915
image num 571,perceptron_out = 6.97135
image num 572,perceptron_out = 14.5796
image num 573,perceptron_out = 14.0491
image num 574,perceptron_out = 10.3835
image num 575,perceptron_out = 9.19425
image num 576,perceptron_out = 7.15709
image num 577,perceptron_out = 7.54975
image num 578,perceptron_out = 6.15149
image num 579,perceptron_out = 16.4892
image num 580,perceptron_out = 14.4891
image num 581,perceptron_out = 8.44136
image num 582,perceptron_out = 5.54281
image num 583,perceptron_out = 8.88494
image num 584,perceptron_out = 5.15412
image num 585,perceptron_out = 5.33445
image num 586,perceptron_out = 4.95295
image num 587,perceptron_out = 6.62852
image num 588,perceptron_out = 6.16728
image num 589,perceptron_out = 13.258
image num 590,perceptron_out = 4.21339
image num 591,perceptron_out = 9.74761
image num 592,perceptron_out = 5.07318
image num 593,perceptron_out = 2.60628
image num 594,perceptron_out = 11.8436
image num 595,perceptron_out = 4.60917
image num 596,perceptron_out = 12.5506
image num 597,perceptron_out = 9.09882
image num 598,perceptron_out = 5.33008
image num 599,perceptron_out = 8.34874
image num 600,perceptron_out = 4.915
image num 601,perceptron_out = 13.4062
image num 602,perceptron_out = 5.66989
image num 603,perceptron_out = 7.65636
image num 604,perceptron_out = 7.65716
image num 605,perceptron_out = 5.91302
image num 606,perceptron_out = 10.0714
image num 607,perceptron_out = 10.1162
image num 608,perceptron_out = 5.04114
image num 609,perceptron_out = 7.09461
image num 610,perceptron_out = 5.55891
image num 611,perceptron_out = 9.52545
image num 612,perceptron_out = 8.91903
image num 613,perceptron_out = 7.95701
image num 614,perceptron_out = 9.85541
image num 615,perceptron_out = 17.4097
image num 616,perceptron_out = 6.00664
image num 617,perceptron_out = 9.27377
image num 618,perceptron_out = 5.40496
image num 619,perceptron_out = 6.71807
image num 620,perceptron_out = 3.75072
image num 621,perceptron_out = 6.04802
image num 622,perceptron_out = 14.3711
image num 623,perceptron_out = 10.2505
image num 624,perceptron_out = 6.11672
image num 625,perceptron_out = 3.42667
image num 626,perceptron_out = 12.399
image num 627,perceptron_out = 12.4977
image num 628,perceptron_out = 12.96
image num 629,perceptron_out = 8.78014
image num 630,perceptron_out = 9.44865
image num 631,perceptron_out = 15.662
image num 632,perceptron_out = 7.73472
image num 633,perceptron_out = 4.78852
image num 634,perceptron_out = 8.02136
image num 635,perceptron_out = 3.85287
image num 636,perceptron_out = 13.0941
image num 637,perceptron_out = 9.87371
image num 638,perceptron_out = 5.36968
image num 639,perceptron_out = 9.35218
image num 640,perceptron_out = 6.78139
image num 641,perceptron_out = 8.96718
image num 642,perceptron_out = 8.93186
image num 643,perceptron_out = 12.2938
image num 644,perceptron_out = 10.4923
image num 645,perceptron_out = 12.9044
image num 646,perceptron_out = 4.63125
image num 647,perceptron_out = 11.8082
image num 648,perceptron_out = 10.2904
image num 649,perceptron_out = 13.8273
image num 650,perceptron_out = 12.8137
image num 651,perceptron_out = 5.57736
image num 652,perceptron_out = 14.1931
image num 653,perceptron_out = 14.9165
image num 654,perceptron_out = 5.56029
image num 655,perceptron_out = 11.4487
image num 656,perceptron_out = 9.13791
image num 657,perceptron_out = 2.45842
image num 658,perceptron_out = 9.16622
image num 659,perceptron_out = 6.24633
image num 660,perceptron_out = 14.9491
image num 661,perceptron_out = 4.98469
image num 662,perceptron_out = 10.512
image num 663,perceptron_out = 11.6182
image num 664,perceptron_out = 6.5085
image num 665,perceptron_out = 12.5681
image num 666,perceptron_out = 5.98734
image num 667,perceptron_out = 15.794
image num 668,perceptron_out = 5.27215
image num 669,perceptron_out = 7.17743
image num 670,perceptron_out = 10.8972
image num 671,perceptron_out = 8.76526
image num 672,perceptron_out = 7.91224
image num 673,perceptron_out = 15.4426
image num 674,perceptron_out = 9.1554
image num 675,perceptron_out = 4.54461
image num 676,perceptron_out = 9.13886
image num 677,perceptron_out = 11.0495
image num 678,perceptron_out = 3.50805
image num 679,perceptron_out = 21.2152
image num 680,perceptron_out = 17.5466
image num 681,perceptron_out = 7.58439
image num 682,perceptron_out = 2.92887
image num 683,perceptron_out = 8.62261
image num 684,perceptron_out = 8.88857
image num 685,perceptron_out = 10.0855
image num 686,perceptron_out = 12.1689
image num 687,perceptron_out = 5.75378
image num 688,perceptron_out = 5.56184
image num 689,perceptron_out = 13.9481
image num 690,perceptron_out = 8.35686
image num 691,perceptron_out = 10.7263
image num 692,perceptron_out = 4.38785
image num 693,perceptron_out = 5.30609
image num 694,perceptron_out = 23.804
image num 695,perceptron_out = 7.91553
image num 696,perceptron_out = 8.33932
image num 697,perceptron_out = 9.07843
image num 698,perceptron_out = 4.61545
image num 699,perceptron_out = 13.1803
image num 700,perceptron_out = 7.65432
image num 701,perceptron_out = 6.21973
image num 702,perceptron_out = 16.5055
image num 703,perceptron_out = 11.8892
image num 704,perceptron_out = 11.8263
image num 705,perceptron_out = 7.53543
image num 706,perceptron_out = 8.48603
image num 707,perceptron_out = 3.75972
image num 708,perceptron_out = 8.66626
image num 709,perceptron_out = 13.643
image num 710,perceptron_out = 9.86164
image num 711,perceptron_out = 13.7835
image num 712,perceptron_out = 7.71864
image num 713,perceptron_out = 11.3209
image num 714,perceptron_out = 8.64346
image num 715,perceptron_out = 25.0787
image num 716,perceptron_out = 6.27257
image num 717,perceptron_out = 7.72961
image num 718,perceptron_out = 19.7744
image num 719,perceptron_out = 7.95052
image num 720,perceptron_out = 14.3507
image num 721,perceptron_out = 5.44471
image num 722,perceptron_out = 19.1394
image num 723,perceptron_out = 7.15503
image num 724,perceptron_out = 8.60203
image num 725,perceptron_out = 8.91052
image num 726,perceptron_out = 9.82087
image num 727,perceptron_out = 5.90235
image num 728,perceptron_out = 9.20893
image num 729,perceptron_out = 7.18683
image num 730,perceptron_out = 7.46897
image num 731,perceptron_out = 5.00285
image num 732,perceptron_out = 5.05954
image num 733,perceptron_out = 7.00835
image num 734,perceptron_out = 11.9555
image num 735,perceptron_out = 4.76249
image num 736,perceptron_out = 14.7737
image num 737,perceptron_out = 11.038
image num 738,perceptron_out = 5.79064
image num 739,perceptron_out = 9.48562
image num 740,perceptron_out = 5.51914
image num 741,perceptron_out = 5.85615
image num 742,perceptron_out = 12.2743
image num 743,perceptron_out = 8.46425
image num 744,perceptron_out = 15.6912
image num 745,perceptron_out = 4.25319
image num 746,perceptron_out = 8.24783
image num 747,perceptron_out = 6.68891
image num 748,perceptron_out = 7.76086
image num 749,perceptron_out = 18.439
image num 750,perceptron_out = 8.53358
image num 751,perceptron_out = 5.01869
image num 752,perceptron_out = 17.5807
image num 753,perceptron_out = 8.14964
image num 754,perceptron_out = 4.85362
image num 755,perceptron_out = 11.9578
image num 756,perceptron_out = 5.13049
image num 757,perceptron_out = 5.56142
image num 758,perceptron_out = 13.0113
image num 759,perceptron_out = 4.97619
image num 760,perceptron_out = 9.48396
image num 761,perceptron_out = 4.4662
image num 762,perceptron_out = 9.07635
image num 763,perceptron_out = 14.2291
image num 764,perceptron_out = 9.0605
image num 765,perceptron_out = 8.76205
image num 766,perceptron_out = 8.07523
image num 767,perceptron_out = 14.7904
image num 768,perceptron_out = 5.34957
image num 769,perceptron_out = 9.77666
image num 770,perceptron_out = 10.5137
image num 771,perceptron_out = 6.51744
image num 772,perceptron_out = 22.7449
image num 773,perceptron_out = 10.2367
image num 774,perceptron_out = 5.48422
image num 775,perceptron_out = 15.1726
image num 776,perceptron_out = 6.82982
image num 777,perceptron_out = 7.79294
image num 778,perceptron_out = 7.81608
image num 779,perceptron_out = 15.2653
